altname,wsname,base,quote
TVKEUR,TVK/EUR,TVK,ZEUR
POLSEUR,POLS/EUR,POLS,ZEUR
SANDXBT,SAND/XBT,SAND,XXBT
WAXLUSD,WAXL/USD,WAXL,ZUSD
XCNEUR,XCN/EUR,XCN,ZEUR
ANTEUR,ANT/EUR,ANT,ZEUR
ENJXBT,ENJ/XBT,ENJ,XXBT
EWTEUR,EWT/EUR,EWT,ZEUR
GALAEUR,GALA/EUR,GALA,ZEUR
XRTEUR,XRT/EUR,XRT,ZEUR
USDJPY,USD/JPY,ZUSD,ZJPY
USTUSDC,UST/USDC,UST,USDC
ETHCAD,ETH/CAD,XETH,ZCAD
API3EUR,API3/EUR,API3,ZEUR
FTMUSD,FTM/USD,FTM,ZUSD
MCUSD,MC/USD,MC,ZUSD
MKRXBT,MKR/XBT,MKR,XXBT
ETCUSD,ETC/USD,XETC,ZUSD
ZECUSD,ZEC/USD,XZEC,ZUSD
ALCXUSD,ALCX/USD,ALCX,ZUSD
ETHDAI,ETH/DAI,XETH,DAI
LINKEUR,LINK/EUR,LINK,ZEUR
RARIXBT,RARI/XBT,RARI,XXBT
MIRUSD,MIR/USD,MIR,ZUSD
OXYUSD,OXY/USD,OXY,ZUSD
SAMOEUR,SAMO/EUR,SAMO,ZEUR
SRMEUR,SRM/EUR,SRM,ZEUR
COMPUSD,COMP/USD,COMP,ZUSD
DASHXBT,DASH/XBT,DASH,XXBT
DOTAUD,DOT/AUD,DOT,ZAUD
FARMUSD,FARM/USD,FARM,ZUSD
ETHGBP,ETH/GBP,XETH,ZGBP
XRPUSDT,XRP/USDT,XXRP,USDT
RNDRUSD,RNDR/USD,RNDR,ZUSD
UMAUSD,UMA/USD,UMA,ZUSD
REPXBT,REP/XBT,XREP,XXBT
LUNAUSD,LUNA/USD,LUNA,ZUSD
PSTAKEUSD,PSTAKE/USD,PSTAKE,ZUSD
SCEUR,SC/EUR,SC,ZEUR
SOLEUR,SOL/EUR,SOL,ZEUR
KSMGBP,KSM/GBP,KSM,ZGBP
PHAUSD,PHA/USD,PHA,ZUSD
YFIEUR,YFI/EUR,YFI,ZEUR
ACAUSD,ACA/USD,ACA,ZUSD
AVAXUSD,AVAX/USD,AVAX,ZUSD
BICOUSD,BICO/USD,BICO,ZUSD
KNCUSD,KNC/USD,KNC,ZUSD
ATOMUSDT,ATOM/USDT,ATOM,USDT
LPTUSD,LPT/USD,LPT,ZUSD
NODLUSD,NODL/USD,NODL,ZUSD
YGGUSD,YGG/USD,YGG,ZUSD
AGLDUSD,AGLD/USD,AGLD,ZUSD
MINAEUR,MINA/EUR,MINA,ZEUR
NANOUSD,NANO/USD,NANO,ZUSD
NYMXBT,NYM/XBT,NYM,XXBT
ETCXBT,ETC/XBT,XETC,XXBT
BADGEREUR,BADGER/EUR,BADGER,ZEUR
BLZEUR,BLZ/EUR,BLZ,ZEUR
ENSUSD,ENS/USD,ENS,ZUSD
MINAGBP,MINA/GBP,MINA,ZGBP
BICOEUR,BICO/EUR,BICO,ZEUR
PAXGETH,PAXG/ETH,PAXG,XETH
SOLGBP,SOL/GBP,SOL,ZGBP
USDCEUR,USDC/EUR,USDC,ZEUR
XBTAED,XBT/AED,XXBT,AED
ALICEUSD,ALICE/USD,ALICE,ZUSD
CVCEUR,CVC/EUR,CVC,ZEUR
HFTUSD,HFT/USD,HFT,ZUSD
RAYEUR,RAY/EUR,RAY,ZEUR
ORCAEUR,ORCA/EUR,ORCA,ZEUR
AGLDEUR,AGLD/EUR,AGLD,ZEUR
APEEUR,APE/EUR,APE,ZEUR
BATJPY,BAT/JPY,BAT,ZJPY
DOTEUR,DOT/EUR,DOT,ZEUR
SRMGBP,SRM/GBP,SRM,ZGBP
WAVESUSD,WAVES/USD,WAVES,ZUSD
XBTEUR,XBT/EUR,XXBT,ZEUR
XLMXBT,XLM/XBT,XXLM,XXBT
GRTEUR,GRT/EUR,GRT,ZEUR
LINKJPY,LINK/JPY,LINK,ZJPY
SAMOUSD,SAMO/USD,SAMO,ZUSD
SHIBUSDT,SHIB/USDT,SHIB,USDT
RUNEEUR,RUNE/EUR,RUNE,ZEUR
TOKEUSD,TOKE/USD,TOKE,ZUSD
WAXLEUR,WAXL/EUR,WAXL,ZEUR
ALPHAUSD,ALPHA/USD,ALPHA,ZUSD
APEUSD,APE/USD,APE,ZUSD
NYMUSD,NYM/USD,NYM,ZUSD
PARAEUR,PARA/EUR,PARA,ZEUR
SRMUSD,SRM/USD,SRM,ZUSD
BADGERUSD,BADGER/USD,BADGER,ZUSD
C98EUR,C98/EUR,C98,ZEUR
LPTEUR,LPT/EUR,LPT,ZEUR
MIREUR,MIR/EUR,MIR,ZEUR
CTSIUSD,CTSI/USD,CTSI,ZUSD
UNIETH,UNI/ETH,UNI,XETH
USTUSD,UST/USD,UST,ZUSD
MLNUSD,MLN/USD,XMLN,ZUSD
ATLASUSD,ATLAS/USD,ATLAS,ZUSD
ENJUSD,ENJ/USD,ENJ,ZUSD
IDEXEUR,IDEX/EUR,IDEX,ZEUR
MXCEUR,MXC/EUR,MXC,ZEUR
FORTHUSD,FORTH/USD,FORTH,ZUSD
GMTEUR,GMT/EUR,GMT,ZEUR
SCETH,SC/ETH,SC,XETH
XRPETH,XRP/ETH,XXRP,XETH
AAVEXBT,AAVE/XBT,AAVE,XXBT
CQTEUR,CQT/EUR,CQT,ZEUR
DYDXUSD,DYDX/USD,DYDX,ZUSD
ETHAED,ETH/AED,XETH,AED
BNTGBP,BNT/GBP,BNT,ZGBP
SCUSD,SC/USD,SC,ZUSD
UNIXBT,UNI/XBT,UNI,XXBT
USDCCAD,USDC/CAD,USDC,ZCAD
EULUSD,EUL/USD,EUL,ZUSD
FILGBP,FIL/GBP,FIL,ZGBP
QNTUSD,QNT/USD,QNT,ZUSD
TBTCEUR,TBTC/EUR,TBTC,ZEUR
BOBAEUR,BOBA/EUR,BOBA,ZEUR
DOTETH,DOT/ETH,DOT,XETH
LINKAUD,LINK/AUD,LINK,ZAUD
LINKETH,LINK/ETH,LINK,XETH
RENGBP,REN/GBP,REN,ZGBP
XBTAUD,XBT/AUD,XXBT,ZAUD
BALUSD,BAL/USD,BAL,ZUSD
BNTXBT,BNT/XBT,BNT,XXBT
CELREUR,CELR/EUR,CELR,ZEUR
NEARUSD,NEAR/USD,NEAR,ZUSD
ZECEUR,ZEC/EUR,XZEC,ZEUR
AIREUR,AIR/EUR,AIR,ZEUR
BOBAUSD,BOBA/USD,BOBA,ZUSD
COTIEUR,COTI/EUR,COTI,ZEUR
UNIEUR,UNI/EUR,UNI,ZEUR
PHAEUR,PHA/EUR,PHA,ZEUR
RAREEUR,RARE/EUR,RARE,ZEUR
ADXUSD,ADX/USD,ADX,ZUSD
ALGOUSD,ALGO/USD,ALGO,ZUSD
ANTUSD,ANT/USD,ANT,ZUSD
MOVREUR,MOVR/EUR,MOVR,ZEUR
RNDREUR,RNDR/EUR,RNDR,ZEUR
EWTGBP,EWT/GBP,EWT,ZGBP
INJEUR,INJ/EUR,INJ,ZEUR
KEEPETH,KEEP/ETH,KEEP,XETH
LINKUSD,LINK/USD,LINK,ZUSD
ZRXXBT,ZRX/XBT,ZRX,XXBT
AKTEUR,AKT/EUR,AKT,ZEUR
GHSTGBP,GHST/GBP,GHST,ZGBP
OXTUSD,OXT/USD,OXT,ZUSD
XLMUSD,XLM/USD,XXLM,ZUSD
APEUSDT,APE/USDT,APE,USDT
CHZEUR,CHZ/EUR,CHZ,ZEUR
GALAUSD,GALA/USD,GALA,ZUSD
TRUUSD,TRU/USD,TRU,ZUSD
USTUSDT,UST/USDT,UST,USDT
WOOUSD,WOO/USD,WOO,ZUSD
USDCAD,USD/CAD,ZUSD,ZCAD
INTREUR,INTR/EUR,INTR,ZEUR
LRCUSD,LRC/USD,LRC,ZUSD
OXTXBT,OXT/XBT,OXT,XXBT
SNXXBT,SNX/XBT,SNX,XXBT
YGGEUR,YGG/EUR,YGG,ZEUR
GBPUSD,GBP/USD,ZGBP,ZUSD
ACHEUR,ACH/EUR,ACH,ZEUR
KARUSD,KAR/USD,KAR,ZUSD
STEPUSD,STEP/USD,STEP,ZUSD
UNFIEUR,UNFI/EUR,UNFI,ZEUR
MLNETH,MLN/ETH,XMLN,XETH
CVXEUR,CVX/EUR,CVX,ZEUR
KNCETH,KNC/ETH,KNC,XETH
SANDUSD,SAND/USD,SAND,ZUSD
LTCEUR,LTC/EUR,XLTC,ZEUR
DASHUSD,DASH/USD,DASH,ZUSD
PLAUSD,PLA/USD,PLA,ZUSD
STORJETH,STORJ/ETH,STORJ,XETH
SYNUSD,SYN/USD,SYN,ZUSD
OCEANUSD,OCEAN/USD,OCEAN,ZUSD
RENEUR,REN/EUR,REN,ZEUR
SNXGBP,SNX/GBP,SNX,ZGBP
TEEREUR,TEER/EUR,TEER,ZEUR
BALEUR,BAL/EUR,BAL,ZEUR
BNCUSD,BNC/USD,BNC,ZUSD
EURGBP,EUR/GBP,ZEUR,ZGBP
GLMREUR,GLMR/EUR,GLMR,ZEUR
PONDEUR,POND/EUR,POND,ZEUR
BANDUSD,BAND/USD,BAND,ZUSD
CELRUSD,CELR/USD,CELR,ZUSD
FIDAEUR,FIDA/EUR,FIDA,ZEUR
KSMXBT,KSM/XBT,KSM,XXBT
GTCEUR,GTC/EUR,GTC,ZEUR
ICPEUR,ICP/EUR,ICP,ZEUR
SPELLEUR,SPELL/EUR,SPELL,ZEUR
XTZETH,XTZ/ETH,XTZ,XETH
ADAETH,ADA/ETH,ADA,XETH
AXSEUR,AXS/EUR,AXS,ZEUR
COTIUSD,COTI/USD,COTI,ZUSD
GHSTEUR,GHST/EUR,GHST,ZEUR
XLMAUD,XLM/AUD,XXLM,ZAUD
EURUSD,EUR/USD,ZEUR,ZUSD
BONDEUR,BOND/EUR,BOND,ZEUR
KAVAETH,KAVA/ETH,KAVA,XETH
KSMAUD,KSM/AUD,KSM,ZAUD
XTZEUR,XTZ/EUR,XTZ,ZEUR
ETHWUSD,ETHW/USD,ETHW,ZUSD
MATICEUR,MATIC/EUR,MATIC,ZEUR
TBTCUSD,TBTC/USD,TBTC,ZUSD
MINAXBT,MINA/XBT,MINA,XXBT
MKREUR,MKR/EUR,MKR,ZEUR
RADEUR,RAD/EUR,RAD,ZEUR
WAVESETH,WAVES/ETH,WAVES,XETH
CVXUSD,CVX/USD,CVX,ZUSD
DOTXBT,DOT/XBT,DOT,XXBT
DYDXEUR,DYDX/EUR,DYDX,ZEUR
EGLDUSD,EGLD/USD,EGLD,ZUSD
XDGUSD,XDG/USD,XXDG,ZUSD
ANKRGBP,ANKR/GBP,ANKR,ZGBP
MANAUSD,MANA/USD,MANA,ZUSD
OMGJPY,OMG/JPY,OMG,ZJPY
STGUSD,STG/USD,STG,ZUSD
ENSEUR,ENS/EUR,ENS,ZEUR
LINKUSDT,LINK/USDT,LINK,USDT
MXCUSD,MXC/USD,MXC,ZUSD
USDTCAD,USDT/CAD,USDT,ZCAD
KAREUR,KAR/EUR,KAR,ZEUR
MANAXBT,MANA/XBT,MANA,XXBT
TEERUSD,TEER/USD,TEER,ZUSD
AVAXEUR,AVAX/EUR,AVAX,ZEUR
BCHGBP,BCH/GBP,BCH,ZGBP
GRTXBT,GRT/XBT,GRT,XXBT
IMXUSD,IMX/USD,IMX,ZUSD
WOOEUR,WOO/EUR,WOO,ZEUR
ADAUSDT,ADA/USDT,ADA,USDT
EULEUR,EUL/EUR,EUL,ZEUR
LPTGBP,LPT/GBP,LPT,ZGBP
TOKEEUR,TOKE/EUR,TOKE,ZEUR
RLCEUR,RLC/EUR,RLC,ZEUR
XRPGBP,XRP/GBP,XXRP,ZGBP
ACHUSD,ACH/USD,ACH,ZUSD
ATOMGBP,ATOM/GBP,ATOM,ZGBP
KNCXBT,KNC/XBT,KNC,XXBT
MKRUSD,MKR/USD,MKR,ZUSD
KSMETH,KSM/ETH,KSM,XETH
RPLEUR,RPL/EUR,RPL,ZEUR
ANTXBT,ANT/XBT,ANT,XXBT
CRVUSD,CRV/USD,CRV,ZUSD
FXSEUR,FXS/EUR,FXS,ZEUR
KINEUR,KIN/EUR,KIN,ZEUR
SHIBUSD,SHIB/USD,SHIB,ZUSD
ETHJPY,ETH/JPY,XETH,ZJPY
MLNEUR,MLN/EUR,XMLN,ZEUR
BATEUR,BAT/EUR,BAT,ZEUR
GMTUSD,GMT/USD,GMT,ZUSD
OMGETH,OMG/ETH,OMG,XETH
OMGUSD,OMG/USD,OMG,ZUSD
AKTUSD,AKT/USD,AKT,ZUSD
GRTUSD,GRT/USD,GRT,ZUSD
QTUMXBT,QTUM/XBT,QTUM,XXBT
OMGXBT,OMG/XBT,OMG,XXBT
ADAUSD,ADA/USD,ADA,ZUSD
DASHEUR,DASH/EUR,DASH,ZEUR
EOSETH,EOS/ETH,EOS,XETH
MASKEUR,MASK/EUR,MASK,ZEUR
ENJEUR,ENJ/EUR,ENJ,ZEUR
ICXXBT,ICX/XBT,ICX,XXBT
SUPEREUR,SUPER/EUR,SUPER,ZEUR
MATICGBP,MATIC/GBP,MATIC,ZGBP
TRXEUR,TRX/EUR,TRX,ZEUR
ANKREUR,ANKR/EUR,ANKR,ZEUR
FILAUD,FIL/AUD,FIL,ZAUD
POWREUR,POWR/EUR,POWR,ZEUR
EOSUSDT,EOS/USDT,EOS,USDT
QTUMETH,QTUM/ETH,QTUM,XETH
REPV2USD,REPV2/USD,REPV2,ZUSD
SGBEUR,SGB/EUR,SGB,ZEUR
ICXUSD,ICX/USD,ICX,ZUSD
AAVEAUD,AAVE/AUD,AAVE,ZAUD
CHRUSD,CHR/USD,CHR,ZUSD
COMPETH,COMP/ETH,COMP,XETH
DAIEUR,DAI/EUR,DAI,ZEUR
AAVEGBP,AAVE/GBP,AAVE,ZGBP
KEEPEUR,KEEP/EUR,KEEP,ZEUR
POLISUSD,POLIS/USD,POLIS,ZUSD
QTUMUSD,QTUM/USD,QTUM,ZUSD
CRVETH,CRV/ETH,CRV,XETH
CRVEUR,CRV/EUR,CRV,ZEUR
DOTGBP,DOT/GBP,DOT,ZGBP
EGLDEUR,EGLD/EUR,EGLD,ZEUR
SNXAUD,SNX/AUD,SNX,ZAUD
ATLASEUR,ATLAS/EUR,ATLAS,ZEUR
FTMEUR,FTM/EUR,FTM,ZEUR
GSTUSD,GST/USD,GST,ZUSD
MANAUSDT,MANA/USDT,MANA,USDT
SHIBEUR,SHIB/EUR,SHIB,ZEUR
ATOMAUD,ATOM/AUD,ATOM,ZAUD
BLZUSD,BLZ/USD,BLZ,ZUSD
KAVAUSD,KAVA/USD,KAVA,ZUSD
KAVAXBT,KAVA/XBT,KAVA,XXBT
FISEUR,FIS/EUR,FIS,ZEUR
JUNOUSD,JUNO/USD,JUNO,ZUSD
RARIUSD,RARI/USD,RARI,ZUSD
SNXUSD,SNX/USD,SNX,ZUSD
REPUSD,REP/USD,XREP,ZUSD
ADXEUR,ADX/EUR,ADX,ZEUR
APTUSD,APT/USD,APT,ZUSD
GALUSD,GAL/USD,GAL,ZUSD
SUPERUSD,SUPER/USD,SUPER,ZUSD
XBTCHF,XBT/CHF,XXBT,CHF
XMREUR,XMR/EUR,XXMR,ZEUR
MASKUSD,MASK/USD,MASK,ZUSD
OXTETH,OXT/ETH,OXT,XETH
PERPUSD,PERP/USD,PERP,ZUSD
USDTUSD,USDT/USD,USDT,ZUSD
RENUSD,REN/USD,REN,ZUSD
SUSHIEUR,SUSHI/EUR,SUSHI,ZEUR
ETHXBT,ETH/XBT,XETH,XXBT
FLOWETH,FLOW/ETH,FLOW,XETH
ROOKUSD,ROOK/USD,ROOK,ZUSD
STXUSD,STX/USD,STX,ZUSD
XTZGBP,XTZ/GBP,XTZ,ZGBP
ALGOETH,ALGO/ETH,ALGO,XETH
AUDJPY,AUD/JPY,ZAUD,ZJPY
CVCUSD,CVC/USD,CVC,ZUSD
DOTUSD,DOT/USD,DOT,ZUSD
QNTEUR,QNT/EUR,QNT,ZEUR
ACAEUR,ACA/EUR,ACA,ZEUR
ARPAUSD,ARPA/USD,ARPA,ZUSD
EWTXBT,EWT/XBT,EWT,XXBT
PONDUSD,POND/USD,POND,ZUSD
MCEUR,MC/EUR,MC,ZEUR
RARIGBP,RARI/GBP,RARI,ZGBP
REPV2ETH,REPV2/ETH,REPV2,XETH
STORJXBT,STORJ/XBT,STORJ,XXBT
ADAAUD,ADA/AUD,ADA,ZAUD
AIRUSD,AIR/USD,AIR,ZUSD
INTRUSD,INTR/USD,INTR,ZUSD
LCXUSD,LCX/USD,LCX,ZUSD
SUSHIXBT,SUSHI/XBT,SUSHI,XXBT
TRIBEUSD,TRIBE/USD,TRIBE,ZUSD
XCNUSD,XCN/USD,XCN,ZUSD
EURCHF,EUR/CHF,ZEUR,CHF
FXSUSD,FXS/USD,FXS,ZUSD
GHSTXBT,GHST/XBT,GHST,XXBT
INJUSD,INJ/USD,INJ,ZUSD
ALICEEUR,ALICE/EUR,ALICE,ZEUR
COMPEUR,COMP/EUR,COMP,ZEUR
CSMUSD,CSM/USD,CSM,ZUSD
DOTUSDT,DOT/USDT,DOT,USDT
KSMUSD,KSM/USD,KSM,ZUSD
XLMGBP,XLM/GBP,XXLM,ZGBP
USDCUSD,USDC/USD,USDC,ZUSD
ENJJPY,ENJ/JPY,ENJ,ZJPY
POLISEUR,POLIS/EUR,POLIS,ZEUR
SUSHIGBP,SUSHI/GBP,SUSHI,ZGBP
TRIBEEUR,TRIBE/EUR,TRIBE,ZEUR
USDCUSDT,USDC/USDT,USDC,USDT
YFIETH,YFI/ETH,YFI,XETH
ALGOUSDT,ALGO/USDT,ALGO,USDT
CRVXBT,CRV/XBT,CRV,XXBT
LDOUSD,LDO/USD,LDO,ZUSD
LUNA2EUR,LUNA2/EUR,LUNA2,ZEUR
ETHCHF,ETH/CHF,XETH,CHF
FILETH,FIL/ETH,FIL,XETH
OCEANXBT,OCEAN/XBT,OCEAN,XXBT
XMRUSDT,XMR/USDT,XXMR,USDT
ASTRUSD,ASTR/USD,ASTR,ZUSD
BCHUSDT,BCH/USDT,BCH,USDT
EURCAD,EUR/CAD,ZEUR,ZCAD
SCXBT,SC/XBT,SC,XXBT
LTCUSD,LTC/USD,XLTC,ZUSD
CSMEUR,CSM/EUR,CSM,ZEUR
DOTJPY,DOT/JPY,DOT,ZJPY
KILTUSD,KILT/USD,KILT,ZUSD
RLCUSD,RLC/USD,RLC,ZUSD
OCEANGBP,OCEAN/GBP,OCEAN,ZGBP
RPLUSD,RPL/USD,RPL,ZUSD
SBREUR,SBR/EUR,SBR,ZEUR
USDCAUD,USDC/AUD,USDC,ZAUD
ALGOGBP,ALGO/GBP,ALGO,ZGBP
GNOUSD,GNO/USD,GNO,ZUSD
LDOEUR,LDO/EUR,LDO,ZEUR
MANAETH,MANA/ETH,MANA,XETH
ETCEUR,ETC/EUR,XETC,ZEUR
XTZXBT,XTZ/XBT,XTZ,XXBT
AAVEUSD,AAVE/USD,AAVE,ZUSD
ALPHAEUR,ALPHA/EUR,ALPHA,ZEUR
USDTCHF,USDT/CHF,USDT,CHF
KAVAEUR,KAVA/EUR,KAVA,ZEUR
RAREUSD,RARE/USD,RARE,ZUSD
RARIEUR,RARI/EUR,RARI,ZEUR
XBTDAI,XBT/DAI,XXBT,DAI
ARPAEUR,ARPA/EUR,ARPA,ZEUR
ATOMXBT,ATOM/XBT,ATOM,XXBT
AXSUSD,AXS/USD,AXS,ZUSD
DAIUSD,DAI/USD,DAI,ZUSD
MANAEUR,MANA/EUR,MANA,ZEUR
STORJUSD,STORJ/USD,STORJ,ZUSD
ADAEUR,ADA/EUR,ADA,ZEUR
API3USD,API3/USD,API3,ZUSD
EURJPY,EUR/JPY,ZEUR,ZJPY
LTCETH,LTC/ETH,XLTC,XETH
ORCAUSD,ORCA/USD,ORCA,ZUSD
WAVESXBT,WAVES/XBT,WAVES,XXBT
FORTHEUR,FORTH/EUR,FORTH,ZEUR
ZECXBT,ZEC/XBT,XZEC,XXBT
REPV2EUR,REPV2/EUR,REPV2,ZEUR
SBRUSD,SBR/USD,SBR,ZUSD
KINTEUR,KINT/EUR,KINT,ZEUR
MATICUSD,MATIC/USD,MATIC,ZUSD
MATICUSDT,MATIC/USDT,MATIC,USDT
MVUSD,MV/USD,MV,ZUSD
FILXBT,FIL/XBT,FIL,XXBT
SDNEUR,SDN/EUR,SDN,ZEUR
SGBUSD,SGB/USD,SGB,ZUSD
TRXUSD,TRX/USD,TRX,ZUSD
ANKRXBT,ANKR/XBT,ANKR,XXBT
LINKXBT,LINK/XBT,LINK,XXBT
REQUSD,REQ/USD,REQ,ZUSD
ROOKEUR,ROOK/EUR,ROOK,ZEUR
LSKETH,LSK/ETH,LSK,XETH
MULTIUSD,MULTI/USD,MULTI,ZUSD
XRPUSD,XRP/USD,XXRP,ZUSD
ALCXEUR,ALCX/EUR,ALCX,ZEUR
CHZUSD,CHZ/USD,CHZ,ZUSD
FILUSD,FIL/USD,FIL,ZUSD
GARIUSD,GARI/USD,GARI,ZUSD
BATETH,BAT/ETH,BAT,XETH
FLOWUSD,FLOW/USD,FLOW,ZUSD
TLMUSD,TLM/USD,TLM,ZUSD
BCHUSD,BCH/USD,BCH,ZUSD
KP3RUSD,KP3R/USD,KP3R,ZUSD
TRXXBT,TRX/XBT,TRX,XXBT
XTZUSDT,XTZ/USDT,XTZ,USDT
FILEUR,FIL/EUR,FIL,ZEUR
LRCEUR,LRC/EUR,LRC,ZEUR
MULTIEUR,MULTI/EUR,MULTI,ZEUR
NMREUR,NMR/EUR,NMR,ZEUR
FETEUR,FET/EUR,FET,ZEUR
MNGOEUR,MNGO/EUR,MNGO,ZEUR
YFIGBP,YFI/GBP,YFI,ZGBP
NANOEUR,NANO/EUR,NANO,ZEUR
XDGXBT,XDG/XBT,XXDG,XXBT
ALGOXBT,ALGO/XBT,ALGO,XXBT
BONDUSD,BOND/USD,BOND,ZUSD
ENJGBP,ENJ/GBP,ENJ,ZGBP
EOSEUR,EOS/EUR,EOS,ZEUR
KINUSD,KIN/USD,KIN,ZUSD
PAXGUSD,PAXG/USD,PAXG,ZUSD
SANDGBP,SAND/GBP,SAND,ZGBP
XMRUSD,XMR/USD,XXMR,ZUSD
LTCUSDT,LTC/USDT,XLTC,USDT
SANDEUR,SAND/EUR,SAND,ZEUR
USDTAUD,USDT/AUD,USDT,ZAUD
WBTCXBT,WBTC/XBT,WBTC,XXBT
BCHETH,BCH/ETH,BCH,XETH
IMXEUR,IMX/EUR,IMX,ZEUR
LSKUSD,LSK/USD,LSK,ZUSD
LSKXBT,LSK/XBT,LSK,XXBT
XRTUSD,XRT/USD,XRT,ZUSD
ETHEUR,ETH/EUR,XETH,ZEUR
ATOMEUR,ATOM/EUR,ATOM,ZEUR
LUNA2USD,LUNA2/USD,LUNA2,ZUSD
MSOLEUR,MSOL/EUR,MSOL,ZEUR
WBTCUSD,WBTC/USD,WBTC,ZUSD
ADAGBP,ADA/GBP,ADA,ZGBP
ATOMUSD,ATOM/USD,ATOM,ZUSD
BANDEUR,BAND/EUR,BAND,ZEUR
ZRXGBP,ZRX/GBP,ZRX,ZGBP
ETHWEUR,ETHW/EUR,ETHW,ZEUR
LTCAUD,LTC/AUD,XLTC,ZAUD
OGNUSD,OGN/USD,OGN,ZUSD
POWRUSD,POWR/USD,POWR,ZUSD
BALETH,BAL/ETH,BAL,XETH
BCHJPY,BCH/JPY,BCH,ZJPY
FLOWEUR,FLOW/EUR,FLOW,ZEUR
KEYEUR,KEY/EUR,KEY,ZEUR
CFGUSD,CFG/USD,CFG,ZUSD
DAIUSDT,DAI/USDT,DAI,USDT
USDCHF,USD/CHF,ZUSD,CHF
ZRXEUR,ZRX/EUR,ZRX,ZEUR
ETHAUD,ETH/AUD,XETH,ZAUD
OGNEUR,OGN/EUR,OGN,ZEUR
LTCXBT,LTC/XBT,XLTC,XXBT
XBTJPY,XBT/JPY,XXBT,ZJPY
RBCEUR,RBC/EUR,RBC,ZEUR
TEUR,T/EUR,T,ZEUR
TUSD,T/USD,T,ZUSD
XTZUSD,XTZ/USD,XTZ,ZUSD
AAVEEUR,AAVE/EUR,AAVE,ZEUR
COMPXBT,COMP/XBT,COMP,XXBT
GRTETH,GRT/ETH,GRT,XETH
JASMYUSD,JASMY/USD,JASMY,ZUSD
PSTAKEEUR,PSTAKE/EUR,PSTAKE,ZEUR
WAVESEUR,WAVES/EUR,WAVES,ZEUR
1INCHUSD,1INCH/USD,1INCH,ZUSD
FARMEUR,FARM/EUR,FARM,ZEUR
FISUSD,FIS/USD,FIS,ZUSD
LTCGBP,LTC/GBP,XLTC,ZGBP
LTCJPY,LTC/JPY,XLTC,ZJPY
MLNXBT,MLN/XBT,XMLN,XXBT
YFIUSD,YFI/USD,YFI,ZUSD
ANTETH,ANT/ETH,ANT,XETH
BATXBT,BAT/XBT,BAT,XXBT
QTUMEUR,QTUM/EUR,QTUM,ZEUR
SCRTUSD,SCRT/USD,SCRT,ZUSD
NANOETH,NANO/ETH,NANO,XETH
