altname,wsname,base,quote
JASMYEUR,JASMY/EUR,JASMY,ZEUR
LSKETH,LSK/ETH,LSK,XETH
LTCGBP,LTC/GBP,XLTC,ZGBP
SRMEUR,SRM/EUR,SRM,ZEUR
STORJXBT,STORJ/XBT,STORJ,XXBT
BCHJPY,BCH/JPY,BCH,ZJPY
BSXEUR,BSX/EUR,BSX,ZEUR
EGLDUSD,EGLD/USD,EGLD,ZUSD
USDCCHF,USDC/CHF,USDC,CHF
XLMXBT,XLM/XBT,XXLM,XXBT
XRPXBT,XRP/XBT,XXRP,XXBT
RAYEUR,RAY/EUR,RAY,ZEUR
WBTCUSD,WBTC/USD,WBTC,ZUSD
ALGOUSDT,ALGO/USDT,ALGO,USDT
FETEUR,FET/EUR,FET,ZEUR
MKREUR,MKR/EUR,MKR,ZEUR
LSKEUR,LSK/EUR,LSK,ZEUR
MOVREUR,MOVR/EUR,MOVR,ZEUR
MXCUSD,MXC/USD,MXC,ZUSD
XLMUSD,XLM/USD,XXLM,ZUSD
BALUSD,BAL/USD,BAL,ZUSD
ETHAUD,ETH/AUD,XETH,ZAUD
FILGBP,FIL/GBP,FIL,ZGBP
XDGEUR,XDG/EUR,XXDG,ZEUR
ZECUSD,ZEC/USD,XZEC,ZUSD
CQTUSD,CQT/USD,CQT,ZUSD
ICXEUR,ICX/EUR,ICX,ZEUR
KINUSD,KIN/USD,KIN,ZUSD
TBTCUSD,TBTC/USD,TBTC,ZUSD
TRIBEUSD,TRIBE/USD,TRIBE,ZUSD
YFIXBT,YFI/XBT,YFI,XXBT
DOTUSD,DOT/USD,DOT,ZUSD
KARUSD,KAR/USD,KAR,ZUSD
SBREUR,SBR/EUR,SBR,ZEUR
GMTEUR,GMT/EUR,GMT,ZEUR
GRTEUR,GRT/EUR,GRT,ZEUR
STXUSD,STX/USD,STX,ZUSD
XRPUSDT,XRP/USDT,XXRP,USDT
APEUSD,APE/USD,APE,ZUSD
BNTUSD,BNT/USD,BNT,ZUSD
FXSUSD,FXS/USD,FXS,ZUSD
RARIGBP,RARI/GBP,RARI,ZGBP
ZRXGBP,ZRX/GBP,ZRX,ZGBP
BADGEREUR,BADGER/EUR,BADGER,ZEUR
CELREUR,CELR/EUR,CELR,ZEUR
NANOUSD,NANO/USD,NANO,ZUSD
OMGETH,OMG/ETH,OMG,XETH
SOLEUR,SOL/EUR,SOL,ZEUR
TBTCXBT,TBTC/XBT,TBTC,XXBT
ETCETH,ETC/ETH,XETC,XETH
HFTUSD,HFT/USD,HFT,ZUSD
JASMYUSD,JASMY/USD,JASMY,ZUSD
LRCUSD,LRC/USD,LRC,ZUSD
TEEREUR,TEER/EUR,TEER,ZEUR
ETHWEUR,ETHW/EUR,ETHW,ZEUR
KAVAETH,KAVA/ETH,KAVA,XETH
MINAXBT,MINA/XBT,MINA,XXBT
GTCUSD,GTC/USD,GTC,ZUSD
MANAETH,MANA/ETH,MANA,XETH
RLCEUR,RLC/EUR,RLC,ZEUR
USDAED,USD/AED,ZUSD,AED
APTEUR,APT/EUR,APT,ZEUR
BATETH,BAT/ETH,BAT,XETH
COMPUSD,COMP/USD,COMP,ZUSD
XTZUSD,XTZ/USD,XTZ,ZUSD
DOTXBT,DOT/XBT,DOT,XXBT
USDTUSD,USDT/USD,USDT,ZUSD
XTZEUR,XTZ/EUR,XTZ,ZEUR
KNCEUR,KNC/EUR,KNC,ZEUR
MXCEUR,MXC/EUR,MXC,ZEUR
NYMUSD,NYM/USD,NYM,ZUSD
QTUMETH,QTUM/ETH,QTUM,XETH
XLMAUD,XLM/AUD,XXLM,ZAUD
ALGOGBP,ALGO/GBP,ALGO,ZGBP
ENJUSD,ENJ/USD,ENJ,ZUSD
ICPUSD,ICP/USD,ICP,ZUSD
RUNEUSD,RUNE/USD,RUNE,ZUSD
SCETH,SC/ETH,SC,XETH
AVAXUSD,AVAX/USD,AVAX,ZUSD
EGLDEUR,EGLD/EUR,EGLD,ZEUR
RADUSD,RAD/USD,RAD,ZUSD
STGUSD,STG/USD,STG,ZUSD
XRPGBP,XRP/GBP,XXRP,ZGBP
XMRXBT,XMR/XBT,XXMR,XXBT
ADAETH,ADA/ETH,ADA,XETH
BITUSD,BIT/USD,BIT,ZUSD
SGBUSD,SGB/USD,SGB,ZUSD
MKRGBP,MKR/GBP,MKR,ZGBP
USDTJPY,USDT/JPY,USDT,ZJPY
BALEUR,BAL/EUR,BAL,ZEUR
CRVETH,CRV/ETH,CRV,XETH
ETHCHF,ETH/CHF,XETH,CHF
WAXLUSD,WAXL/USD,WAXL,ZUSD
LRCEUR,LRC/EUR,LRC,ZEUR
MATICUSDT,MATIC/USDT,MATIC,USDT
SOLXBT,SOL/XBT,SOL,XXBT
LSKXBT,LSK/XBT,LSK,XXBT
PAXGUSD,PAXG/USD,PAXG,ZUSD
QNTEUR,QNT/EUR,QNT,ZEUR
ANTEUR,ANT/EUR,ANT,ZEUR
ICPEUR,ICP/EUR,ICP,ZEUR
KNCXBT,KNC/XBT,KNC,XXBT
KSMAUD,KSM/AUD,KSM,ZAUD
LTCUSDT,LTC/USDT,XLTC,USDT
EOSUSDT,EOS/USDT,EOS,USDT
PHAEUR,PHA/EUR,PHA,ZEUR
USDCHF,USD/CHF,ZUSD,CHF
ADXUSD,ADX/USD,ADX,ZUSD
EURCAD,EUR/CAD,ZEUR,ZCAD
PONDEUR,POND/EUR,POND,ZEUR
ACHUSD,ACH/USD,ACH,ZUSD
KEEPXBT,KEEP/XBT,KEEP,XXBT
FARMEUR,FARM/EUR,FARM,ZEUR
KEEPETH,KEEP/ETH,KEEP,XETH
SNXGBP,SNX/GBP,SNX,ZGBP
XDGUSD,XDG/USD,XXDG,ZUSD
XTZGBP,XTZ/GBP,XTZ,ZGBP
ALCXEUR,ALCX/EUR,ALCX,ZEUR
ATLASUSD,ATLAS/USD,ATLAS,ZUSD
COMPEUR,COMP/EUR,COMP,ZEUR
OGNUSD,OGN/USD,OGN,ZUSD
PARAEUR,PARA/EUR,PARA,ZEUR
USDTAUD,USDT/AUD,USDT,ZAUD
ETHCAD,ETH/CAD,XETH,ZCAD
FIDAEUR,FIDA/EUR,FIDA,ZEUR
GNOETH,GNO/ETH,GNO,XETH
LUNAEUR,LUNA/EUR,LUNA,ZEUR
OGNEUR,OGN/EUR,OGN,ZEUR
ORCAEUR,ORCA/EUR,ORCA,ZEUR
CQTEUR,CQT/EUR,CQT,ZEUR
DOTJPY,DOT/JPY,DOT,ZJPY
JUNOEUR,JUNO/EUR,JUNO,ZEUR
MSOLEUR,MSOL/EUR,MSOL,ZEUR
NANOEUR,NANO/EUR,NANO,ZEUR
SHIBUSD,SHIB/USD,SHIB,ZUSD
SPELLEUR,SPELL/EUR,SPELL,ZEUR
BNCUSD,BNC/USD,BNC,ZUSD
CSMUSD,CSM/USD,CSM,ZUSD
MATICUSD,MATIC/USD,MATIC,ZUSD
GBPUSD,GBP/USD,ZGBP,ZUSD
ADAGBP,ADA/GBP,ADA,ZGBP
FIDAUSD,FIDA/USD,FIDA,ZUSD
LPTUSD,LPT/USD,LPT,ZUSD
XBTUSD,XBT/USD,XXBT,ZUSD
ATLASEUR,ATLAS/EUR,ATLAS,ZEUR
KAVAUSD,KAVA/USD,KAVA,ZUSD
LDOUSD,LDO/USD,LDO,ZUSD
POLISUSD,POLIS/USD,POLIS,ZUSD
SUSHIXBT,SUSHI/XBT,SUSHI,XXBT
WBTCXBT,WBTC/XBT,WBTC,XXBT
GNOUSD,GNO/USD,GNO,ZUSD
LCXUSD,LCX/USD,LCX,ZUSD
MCUSD,MC/USD,MC,ZUSD
GTCEUR,GTC/EUR,GTC,ZEUR
KINEUR,KIN/EUR,KIN,ZEUR
XTZXBT,XTZ/XBT,XTZ,XXBT
ATOMUSDT,ATOM/USDT,ATOM,USDT
GALAEUR,GALA/EUR,GALA,ZEUR
GHSTGBP,GHST/GBP,GHST,ZGBP
PHAUSD,PHA/USD,PHA,ZUSD
RAYUSD,RAY/USD,RAY,ZUSD
USDCUSD,USDC/USD,USDC,ZUSD
ETHEUR,ETH/EUR,XETH,ZEUR
DAIUSDT,DAI/USDT,DAI,USDT
ENJJPY,ENJ/JPY,ENJ,ZJPY
MANAXBT,MANA/XBT,MANA,XXBT
KNCUSD,KNC/USD,KNC,ZUSD
NODLEUR,NODL/EUR,NODL,ZEUR
SHIBEUR,SHIB/EUR,SHIB,ZEUR
XRPUSD,XRP/USD,XXRP,ZUSD
AUDIOUSD,AUDIO/USD,AUDIO,ZUSD
DAIUSD,DAI/USD,DAI,ZUSD
JUNOUSD,JUNO/USD,JUNO,ZUSD
RUNEEUR,RUNE/EUR,RUNE,ZEUR
SCXBT,SC/XBT,SC,XXBT
STORJEUR,STORJ/EUR,STORJ,ZEUR
STXEUR,STX/EUR,STX,ZEUR
DOTAUD,DOT/AUD,DOT,ZAUD
ENJEUR,ENJ/EUR,ENJ,ZEUR
MINAUSD,MINA/USD,MINA,ZUSD
ETHGBP,ETH/GBP,XETH,ZGBP
DENTUSD,DENT/USD,DENT,ZUSD
EURCHF,EUR/CHF,ZEUR,CHF
KINTUSD,KINT/USD,KINT,ZUSD
LTCUSD,LTC/USD,XLTC,ZUSD
ANKRUSD,ANKR/USD,ANKR,ZUSD
AXSUSD,AXS/USD,AXS,ZUSD
KILTEUR,KILT/EUR,KILT,ZEUR
NEAREUR,NEAR/EUR,NEAR,ZEUR
RARIEUR,RARI/EUR,RARI,ZEUR
SAMOEUR,SAMO/EUR,SAMO,ZEUR
SGBEUR,SGB/EUR,SGB,ZEUR
AUDUSD,AUD/USD,ZAUD,ZUSD
MULTIUSD,MULTI/USD,MULTI,ZUSD
NANOXBT,NANO/XBT,NANO,XXBT
BADGERUSD,BADGER/USD,BADGER,ZUSD
ETHWETH,ETHW/ETH,ETHW,XETH
SHIBUSDT,SHIB/USDT,SHIB,USDT
ALICEEUR,ALICE/EUR,ALICE,ZEUR
ASTRUSD,ASTR/USD,ASTR,ZUSD
AUDIOEUR,AUDIO/EUR,AUDIO,ZEUR
KEYUSD,KEY/USD,KEY,ZUSD
LPTEUR,LPT/EUR,LPT,ZEUR
OXTXBT,OXT/XBT,OXT,XXBT
TRUEUR,TRU/EUR,TRU,ZEUR
XLMGBP,XLM/GBP,XXLM,ZGBP
AAVEXBT,AAVE/XBT,AAVE,XXBT
BTTEUR,BTT/EUR,BTT,ZEUR
GHSTXBT,GHST/XBT,GHST,XXBT
EURAUD,EUR/AUD,ZEUR,ZAUD
MANAUSD,MANA/USD,MANA,ZUSD
OXTUSD,OXT/USD,OXT,ZUSD
USDCCAD,USDC/CAD,USDC,ZCAD
ADAXBT,ADA/XBT,ADA,XXBT
BICOUSD,BICO/USD,BICO,ZUSD
DENTEUR,DENT/EUR,DENT,ZEUR
SUPEREUR,SUPER/EUR,SUPER,ZEUR
ALICEUSD,ALICE/USD,ALICE,ZUSD
EOSETH,EOS/ETH,EOS,XETH
ETHAED,ETH/AED,XETH,AED
USDTCAD,USDT/CAD,USDT,ZCAD
REPUSD,REP/USD,XREP,ZUSD
LINKXBT,LINK/XBT,LINK,XXBT
MANAUSDT,MANA/USDT,MANA,USDT
RENUSD,REN/USD,REN,ZUSD
XBTUSDT,XBT/USDT,XXBT,USDT
ADAUSDT,ADA/USDT,ADA,USDT
BATEUR,BAT/EUR,BAT,ZEUR
TRXETH,TRX/ETH,TRX,XETH
RPLUSD,RPL/USD,RPL,ZUSD
MLNETH,MLN/ETH,XMLN,XETH
XRTEUR,XRT/EUR,XRT,ZEUR
BLZEUR,BLZ/EUR,BLZ,ZEUR
COTIEUR,COTI/EUR,COTI,ZEUR
GRTGBP,GRT/GBP,GRT,ZGBP
LINKEUR,LINK/EUR,LINK,ZEUR
USTEUR,UST/EUR,UST,ZEUR
WAVESUSD,WAVES/USD,WAVES,ZUSD
OMGEUR,OMG/EUR,OMG,ZEUR
SUPERUSD,SUPER/USD,SUPER,ZUSD
REPEUR,REP/EUR,XREP,ZEUR
ARPAUSD,ARPA/USD,ARPA,ZUSD
C98EUR,C98/EUR,C98,ZEUR
EWTEUR,EWT/EUR,EWT,ZEUR
XBTCAD,XBT/CAD,XXBT,ZCAD
YFIUSD,YFI/USD,YFI,ZUSD
ZRXEUR,ZRX/EUR,ZRX,ZEUR
BONDUSD,BOND/USD,BOND,ZUSD
LUNA2USD,LUNA2/USD,LUNA2,ZUSD
MCEUR,MC/EUR,MC,ZEUR
GRTUSD,GRT/USD,GRT,ZUSD
BCHXBT,BCH/XBT,BCH,XXBT
ETH2.SETH,ETH2.S/ETH,ETH2.S,XETH
GARIUSD,GARI/USD,GARI,ZUSD
LSKUSD,LSK/USD,LSK,ZUSD
MULTIEUR,MULTI/EUR,MULTI,ZEUR
UNFIUSD,UNFI/USD,UNFI,ZUSD
XCNUSD,XCN/USD,XCN,ZUSD
AKTEUR,AKT/EUR,AKT,ZEUR
FLOWXBT,FLOW/XBT,FLOW,XXBT
LPTGBP,LPT/GBP,LPT,ZGBP
YGGUSD,YGG/USD,YGG,ZUSD
ZRXUSD,ZRX/USD,ZRX,ZUSD
BOBAEUR,BOBA/EUR,BOBA,ZEUR
RPLEUR,RPL/EUR,RPL,ZEUR
ETCXBT,ETC/XBT,XETC,XXBT
LUNAUSD,LUNA/USD,LUNA,ZUSD
SPELLUSD,SPELL/USD,SPELL,ZUSD
STORJUSD,STORJ/USD,STORJ,ZUSD
ALGOXBT,ALGO/XBT,ALGO,XXBT
DASHEUR,DASH/EUR,DASH,ZEUR
ENJGBP,ENJ/GBP,ENJ,ZGBP
TRIBEEUR,TRIBE/EUR,TRIBE,ZEUR
XBTDAI,XBT/DAI,XXBT,DAI
YGGEUR,YGG/EUR,YGG,ZEUR
GALUSD,GAL/USD,GAL,ZUSD
LINKGBP,LINK/GBP,LINK,ZGBP
LTCAUD,LTC/AUD,XLTC,ZAUD
PSTAKEEUR,PSTAKE/EUR,PSTAKE,ZEUR
SCRTEUR,SCRT/EUR,SCRT,ZEUR
FTMEUR,FTM/EUR,FTM,ZEUR
ICXETH,ICX/ETH,ICX,XETH
LDOEUR,LDO/EUR,LDO,ZEUR
HFTEUR,HFT/EUR,HFT,ZEUR
KSMUSD,KSM/USD,KSM,ZUSD
TRXXBT,TRX/XBT,TRX,XXBT
AVAXUSDT,AVAX/USDT,AVAX,USDT
COMPETH,COMP/ETH,COMP,XETH
GRTETH,GRT/ETH,GRT,XETH
CFGEUR,CFG/EUR,CFG,ZEUR
OXTETH,OXT/ETH,OXT,XETH
XBTGBP,XBT/GBP,XXBT,ZGBP
BATXBT,BAT/XBT,BAT,XXBT
CHZUSD,CHZ/USD,CHZ,ZUSD
XDGXBT,XDG/XBT,XXDG,XXBT
RLCUSD,RLC/USD,RLC,ZUSD
SDNUSD,SDN/USD,SDN,ZUSD
SNXUSD,SNX/USD,SNX,ZUSD
POWRUSD,POWR/USD,POWR,ZUSD
QTUMXBT,QTUM/XBT,QTUM,XXBT
SAMOUSD,SAMO/USD,SAMO,ZUSD
AGLDUSD,AGLD/USD,AGLD,ZUSD
MOVRUSD,MOVR/USD,MOVR,ZUSD
MSOLUSD,MSOL/USD,MSOL,ZUSD
TOKEUSD,TOKE/USD,TOKE,ZUSD
ETCUSD,ETC/USD,XETC,ZUSD
ASTREUR,ASTR/EUR,ASTR,ZEUR
KSMETH,KSM/ETH,KSM,XETH
RBCEUR,RBC/EUR,RBC,ZEUR
PERPUSD,PERP/USD,PERP,ZUSD
STEPEUR,STEP/EUR,STEP,ZEUR
USDCEUR,USDC/EUR,USDC,ZEUR
ETHJPY,ETH/JPY,XETH,ZJPY
ANKRGBP,ANKR/GBP,ANKR,ZGBP
CVXEUR,CVX/EUR,CVX,ZEUR
EWTUSD,EWT/USD,EWT,ZUSD
ETHUSD,ETH/USD,XETH,ZUSD
BNTGBP,BNT/GBP,BNT,ZGBP
GNOEUR,GNO/EUR,GNO,ZEUR
LINKJPY,LINK/JPY,LINK,ZJPY
OXTEUR,OXT/EUR,OXT,ZEUR
QTUMEUR,QTUM/EUR,QTUM,ZEUR
REPV2XBT,REPV2/XBT,REPV2,XXBT
SCEUR,SC/EUR,SC,ZEUR
FILUSD,FIL/USD,FIL,ZUSD
GRTXBT,GRT/XBT,GRT,XXBT
MVUSD,MV/USD,MV,ZUSD
XBTAUD,XBT/AUD,XXBT,ZAUD
XBTUSDC,XBT/USDC,XXBT,USDC
ZECEUR,ZEC/EUR,XZEC,ZEUR
YFIGBP,YFI/GBP,YFI,ZGBP
CHREUR,CHR/EUR,CHR,ZEUR
EULUSD,EUL/USD,EUL,ZUSD
SOLUSD,SOL/USD,SOL,ZUSD
XCNEUR,XCN/EUR,XCN,ZEUR
APTUSD,APT/USD,APT,ZUSD
MINAEUR,MINA/EUR,MINA,ZEUR
SCRTUSD,SCRT/USD,SCRT,ZUSD
SOLUSDT,SOL/USDT,SOL,USDT
BTTUSD,BTT/USD,BTT,ZUSD
EOSXBT,EOS/XBT,EOS,XXBT
RAREEUR,RARE/EUR,RARE,ZEUR
XBTAED,XBT/AED,XXBT,AED
MASKUSD,MASK/USD,MASK,ZUSD
NYMEUR,NYM/EUR,NYM,ZEUR
QTUMUSD,QTUM/USD,QTUM,ZUSD
XTZUSDT,XTZ/USDT,XTZ,USDT
FILXBT,FIL/XBT,FIL,XXBT
TVKEUR,TVK/EUR,TVK,ZEUR
USDCGBP,USDC/GBP,USDC,ZGBP
EOSEUR,EOS/EUR,EOS,ZEUR
EWTGBP,EWT/GBP,EWT,ZGBP
LUNA2EUR,LUNA2/EUR,LUNA2,ZEUR
OCEANUSD,OCEAN/USD,OCEAN,ZUSD
ALGOUSD,ALGO/USD,ALGO,ZUSD
AUDJPY,AUD/JPY,ZAUD,ZJPY
BALETH,BAL/ETH,BAL,XETH
LINKETH,LINK/ETH,LINK,XETH
APEEUR,APE/EUR,APE,ZEUR
ATOMAUD,ATOM/AUD,ATOM,ZAUD
ETHUSDT,ETH/USDT,XETH,USDT
TBTCEUR,TBTC/EUR,TBTC,ZEUR
UMAUSD,UMA/USD,UMA,ZUSD
BONDEUR,BOND/EUR,BOND,ZEUR
FILAUD,FIL/AUD,FIL,ZAUD
FLOWUSD,FLOW/USD,FLOW,ZUSD
SNXETH,SNX/ETH,SNX,XETH
WAVESEUR,WAVES/EUR,WAVES,ZEUR
ADAAUD,ADA/AUD,ADA,ZAUD
EURJPY,EUR/JPY,ZEUR,ZJPY
PERPEUR,PERP/EUR,PERP,ZEUR
BCHUSD,BCH/USD,BCH,ZUSD
REPV2USD,REPV2/USD,REPV2,ZUSD
XRTUSD,XRT/USD,XRT,ZUSD
LPTXBT,LPT/XBT,LPT,XXBT
RNDRUSD,RNDR/USD,RNDR,ZUSD
TBTCETH,TBTC/ETH,TBTC,XETH
USDCAUD,USDC/AUD,USDC,ZAUD
ATOMUSD,ATOM/USD,ATOM,ZUSD
IMXUSD,IMX/USD,IMX,ZUSD
KP3RUSD,KP3R/USD,KP3R,ZUSD
INJEUR,INJ/EUR,INJ,ZEUR
NANOETH,NANO/ETH,NANO,XETH
USDJPY,USD/JPY,ZUSD,ZJPY
ADAUSD,ADA/USD,ADA,ZUSD
BLZUSD,BLZ/USD,BLZ,ZUSD
EULEUR,EUL/EUR,EUL,ZEUR
REQEUR,REQ/EUR,REQ,ZEUR
ANKRXBT,ANKR/XBT,ANKR,XXBT
AXSEUR,AXS/EUR,AXS,ZEUR
INTREUR,INTR/EUR,INTR,ZEUR
ROOKEUR,ROOK/EUR,ROOK,ZEUR
XBTCHF,XBT/CHF,XXBT,CHF
MNGOEUR,MNGO/EUR,MNGO,ZEUR
PLAUSD,PLA/USD,PLA,ZUSD
REPV2EUR,REPV2/EUR,REPV2,ZEUR
TOKEEUR,TOKE/EUR,TOKE,ZEUR
XRPETH,XRP/ETH,XXRP,XETH
EWTXBT,EWT/XBT,EWT,XXBT
GSTUSD,GST/USD,GST,ZUSD
LINKUSD,LINK/USD,LINK,ZUSD
MLNUSD,MLN/USD,XMLN,ZUSD
BANDEUR,BAND/EUR,BAND,ZEUR
CVXUSD,CVX/USD,CVX,ZUSD
KNCETH,KNC/ETH,KNC,XETH
IMXEUR,IMX/EUR,IMX,ZEUR
MANAEUR,MANA/EUR,MANA,ZEUR
SUSHIUSD,SUSHI/USD,SUSHI,ZUSD
USDTGBP,USDT/GBP,USDT,ZGBP
MLNEUR,MLN/EUR,XMLN,ZEUR
ATOMEUR,ATOM/EUR,ATOM,ZEUR
BCHEUR,BCH/EUR,BCH,ZEUR
ETHWUSD,ETHW/USD,ETHW,ZUSD
DYDXEUR,DYDX/EUR,DYDX,ZEUR
PAXGEUR,PAXG/EUR,PAXG,ZEUR
SRMXBT,SRM/XBT,SRM,XXBT
LCXEUR,LCX/EUR,LCX,ZEUR
PAXGXBT,PAXG/XBT,PAXG,XXBT
WOOEUR,WOO/EUR,WOO,ZEUR
CHRUSD,CHR/USD,CHR,ZUSD
GRTAUD,GRT/AUD,GRT,ZAUD
ICXUSD,ICX/USD,ICX,ZUSD
NODLUSD,NODL/USD,NODL,ZUSD
RARIUSD,RARI/USD,RARI,ZUSD
SNXEUR,SNX/EUR,SNX,ZEUR
STORJETH,STORJ/ETH,STORJ,XETH
INTRUSD,INTR/USD,INTR,ZUSD
KAVAEUR,KAVA/EUR,KAVA,ZEUR
KSMDOT,KSM/DOT,KSM,DOT
TVKUSD,TVK/USD,TVK,ZUSD
UMAEUR,UMA/EUR,UMA,ZEUR
REPETH,REP/ETH,XREP,XETH
ACHEUR,ACH/EUR,ACH,ZEUR
KP3REUR,KP3R/EUR,KP3R,ZEUR
KSMGBP,KSM/GBP,KSM,ZGBP
KEYEUR,KEY/EUR,KEY,ZEUR
OMGUSD,OMG/USD,OMG,ZUSD
OXYUSD,OXY/USD,OXY,ZUSD
PLAEUR,PLA/EUR,PLA,ZEUR
POWREUR,POWR/EUR,POWR,ZEUR
ATOMETH,ATOM/ETH,ATOM,XETH
CVCEUR,CVC/EUR,CVC,ZEUR
GALEUR,GAL/EUR,GAL,ZEUR
SNXXBT,SNX/XBT,SNX,XXBT
WAVESETH,WAVES/ETH,WAVES,XETH
RNDREUR,RNDR/EUR,RNDR,ZEUR
AIREUR,AIR/EUR,AIR,ZEUR
EOSUSD,EOS/USD,EOS,ZUSD
MINAGBP,MINA/GBP,MINA,ZGBP
